Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.435,0.056,0.491,,4,3,1,4,1
111CA,Farms,methane,"kg/2018 USD, purchaser price",0.023,0.001,0.024,,3,3,1,1,1
111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,3,1,4,1
111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,3,1,3,1
113FF,"Forestry, fishing, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.251,0.031,0.282,,4,3,1,4,1
113FF,"Forestry, fishing, and related activities",methane,"kg/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,1,1
113FF,"Forestry, fishing, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
113FF,"Forestry, fishing, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,3,1
211,Oil and gas extraction,carbon dioxide,"kg/2018 USD, purchaser price",0.344,0.069,0.413,,3,3,1,3,1
211,Oil and gas extraction,methane,"kg/2018 USD, purchaser price",0.016,0.001,0.017,,4,3,1,1,1
211,Oil and gas extraction,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
211,Oil and gas extraction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,3,1
212,"Mining, except oil and gas",carbon dioxide,"kg/2018 USD, purchaser price",0.518,0.134,0.652,,4,3,1,4,1
212,"Mining, except oil and gas",methane,"kg/2018 USD, purchaser price",0.019,0.001,0.02,,4,3,1,1,1
212,"Mining, except oil and gas",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
212,"Mining, except oil and gas",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,3,1
213,Support activities for mining,carbon dioxide,"kg/2018 USD, purchaser price",0.355,0,0.355,,4,3,1,4,1
213,Support activities for mining,methane,"kg/2018 USD, purchaser price",0.009,0,0.009,,4,3,1,1,1
213,Support activities for mining,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
213,Support activities for mining,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,3,1
22,Utilities,carbon dioxide,"kg/2018 USD, purchaser price",3.502,0,3.502,,2,3,1,2,1
22,Utilities,methane,"kg/2018 USD, purchaser price",0.006,0,0.006,,4,3,1,1,1
22,Utilities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
22,Utilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0,0.013,,2,3,1,1,1
